CAS	InChIKey	Pubchem_CID	CanonicalSMILES
106-74-1	FWWXYLGCHHIKNY-UHFFFAOYSA-N	7827	CCOCCOC(=O)C=C
106-87-6	OECTYKWYRCHAKR-UHFFFAOYSA-N	7833	C1CC2C(O2)CC1C3CO3
106-88-7	RBACIKXCRWGCBB-UHFFFAOYSA-N	7834	CCC1CO1
106-89-8	BRLQWZUYTZBJKN-UHFFFAOYSA-N	7835	C1C(O1)CCl
106-90-1	RPQRDASANLAFCM-UHFFFAOYSA-N	7836	C=CC(=O)OCC1CO1
106-91-2	BDAGIHXWWSANSR-UHFFFAOYSA-N	284	C(=O)O
106-92-3	LSWYGACWGAICNM-UHFFFAOYSA-N	7838	C=CCOCC1CO1
106-93-4	FJBFPHVGVWTDIP-UHFFFAOYSA-N	3024	C(Br)Br
106-94-5	CYNYIHKIEHGYOZ-UHFFFAOYSA-N	7840	CCCBr
106-95-6	BHELZAPQIKSEDF-UHFFFAOYSA-N	7841	C=CCBr
106-96-7	YORCIIVHUBAYBQ-UHFFFAOYSA-N	7842	C#CCBr
106-97-8	IJDNQMDRQITEOD-UHFFFAOYSA-N	7843	CCCC
106-99-0	DYCJFJRCWPVDHY-UHFFFAOYSA-N	5129	C1=CC(=CC=C1CSC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)[N+](=O)[O-]
107-02-8	HGINCPLSRVDWNT-UHFFFAOYSA-N	7847	C=CC=O
107-03-9	SUVIGLJNEAMWEG-UHFFFAOYSA-N	7848	CCCS
107-04-0	IBYHHJPAARCAIE-UHFFFAOYSA-N	7849	C(CBr)Cl
107-05-1	HBUBKKRHXORPQB-UHFFFAOYSA-N	3367	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F
107-06-2	WSLDOOZREJYCGB-UHFFFAOYSA-N	11	C(CCl)Cl
107-07-3	SZIFAVKTNFCBPC-UHFFFAOYSA-N	34	C(CCl)O
107-10-8	WGYKZJWCGVVSQN-UHFFFAOYSA-N	7852	CCCN
107-11-9	VVJKKWFAADXIJK-UHFFFAOYSA-N	7853	C=CCN
107-12-0	FVSKHRXBFJPNKK-UHFFFAOYSA-N	7854	CCC#N
107-13-1	HRPVXLWXLXDGHG-UHFFFAOYSA-N	6579	C=CC(=O)N
107-14-2	RENMDAKOXSCIGH-UHFFFAOYSA-N	7856	C(C#N)Cl
107-15-3	PIICEJLVQHRZGT-UHFFFAOYSA-N	3301	C(CN)N
107-16-4	LTYRAPJYLUPLCI-UHFFFAOYSA-N	7857	C(C#N)O
1071-83-6	XDDAORKBJWWYJS-UHFFFAOYSA-N	3496	C(C(=O)O)NCP(=O)(O)O
107-18-6	XXROGKLTLUQVRX-UHFFFAOYSA-N	7858	C=CCO
107-19-7	TVDSBUOJIPERQY-UHFFFAOYSA-N	7859	C#CCO
107-20-0	SLUDRBHRUDRZJZ-UHFFFAOYSA-N	32	C(=CC(=O)O)C=C(C(=O)O)C(=O)O
107-21-1	LYCAIKOWRPUZTN-UHFFFAOYSA-N	174	C(CO)O
107-22-2	DNIAPMSPPWPWGF-UHFFFAOYSA-N	1030	CC(CO)O
1072-52-2	VYONOYYDEFODAJ-UHFFFAOYSA-N	14074	C1CN1CCO
107-29-9	FZENGILVLUJGJX-UHFFFAOYSA-N	7863	CC=NO
107-30-2	XJUZRXYOEPSWMB-UHFFFAOYSA-N	7864	COCCl
107-31-3	TZIHFWKZFHZASV-UHFFFAOYSA-N	7865	COC=O
107-35-7	XOAAWQZATWQOTB-UHFFFAOYSA-N	1123	C(CS(=O)(=O)O)N
1073-67-2	KTZVZZJJVJQZHV-UHFFFAOYSA-N	14085	C=CC1=CC=C(C=C1)Cl
107-37-9	HKFSBKQQYCMCKO-UHFFFAOYSA-N	7867	C=CC[Si](Cl)(Cl)Cl
107-41-5	SVTBMSDMJJWYQN-UHFFFAOYSA-N	7870	CC(CC(C)(C)O)O
107-44-8	DYAHQFWOVKZOOW-UHFFFAOYSA-N	7871	CC(C)OP(=O)(C)F
107-46-0	UQEAIHBTYFGYIE-UHFFFAOYSA-N	24764	C[Si](C)(C)O[Si](C)(C)C
107-49-3	IDCBOTIENDVCBQ-UHFFFAOYSA-N	7873	CCOP(=O)(OCC)OP(=O)(OCC)OCC
107534-96-3	PXMNMQRDXWABCY-UHFFFAOYSA-N	86102	CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O
107-64-2	REZZEXDLIUJMMS-UHFFFAOYSA-M	7879	CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-]
107-66-4	JYFHYPJRHGVZDY-UHFFFAOYSA-N	7881	CCCCOP(=O)(O)OCCCC
107-72-2	KWDQAHIRKOXFAV-UHFFFAOYSA-N	7885	CCCCC[Si](Cl)(Cl)Cl
107-82-4	YXZFFTJAHVMMLF-UHFFFAOYSA-N	7891	CC(C)CCBr
107-87-9	XNLICIUVMPYHGG-UHFFFAOYSA-N	7895	CCCC(=O)C
107-88-0	PUPZLCDOIYMWBV-UHFFFAOYSA-N	7896	CC(CCO)O
