ChemIndex	InChIKey	CASRN	CanonicalSMILES
128	ZPQOPVIELGIULI-UHFFFAOYSA-N	541-73-1	C1=CC(=CC(=C1)Cl)Cl
129	SYAGNXPUGXHHRO-UHFFFAOYSA-N	None	Br.CC(C)(C)C(=O)SCCNC(=O)CN
130	JOHWNGGYGAVMGU-UHFFFAOYSA-N	7790-91-2	FCl(F)F
131	ASZXFMFROJTYBD-UHFFFAOYSA-N	None	Cc1ccccc1CNc2c3C(O)CCCc3nc4ccccc24
132	LWAFSWPYPHEXKX-UHFFFAOYSA-N	None	CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12
133	QUKGYYKBILRGFE-UHFFFAOYSA-N	140-11-4	CC(=O)OCC1=CC=CC=C1
134	WWZYJJGFUIAWNW-UHFFFAOYSA-N	None	C[n+]1ccccc1C=NO.CS(=O)(=O)[O-]
135	BLRDASGFCGHOHT-UHFFFAOYSA-N	None	CCCCN1C(=O)CCC1(O)c2cccc(c2)C(F)(F)F
136	BBYVNRLCDGQARF-VIFPVBQESA-N	None	Cc1c(F)c(nc2N(C=C(C(=O)O)C(=O)c12)C3CC3)N4CC[C@H](N)C4
137	WUWFMDMBOJLQIV-UHFFFAOYSA-N	None	NC1CCN(C1)c2nc3N(C=C(C(=O)O)C(=O)c3cc2F)c4ccc(F)cc4F
138	GNHBSIFYQATKHI-UHFFFAOYSA-N	None	COc1ccc(cc1)c2nnc(n2C)S(=O)(=O)C
139	OFGCPCGNQBNYMY-UHFFFAOYSA-N	None	CCOC(=O)C(NCCNC(C(=O)OCC)c1ccccc1O)c2ccccc2O
140	XOOGZRUBTYCLHG-UHFFFAOYSA-N	75-74-1	C[Pb](C)(C)C
141	VLQKLRNYSSUCFP-UHFFFAOYSA-N	None	CN(CC(=O)NCCCl)C(=O)N(CCCl)N=O
142	QZIDSINUCYUSGM-UHFFFAOYSA-N	None	NC(=O)Nc1nc(SCc2nc3ccccc3[nH]2)nc(c4ccccc4)c1C#N
143	YKRGOSHQVJQEJE-LBPRGKRZSA-N	None	CCN1CCC[C@H]1CNC(=O)c2c(O)c(CC)cc(Br)c2OC
144	NYKYBCORUMFPLS-UHFFFAOYSA-N	None	CC(=O)NNc1nncc(n1)c2ccc(Cl)c(Cl)c2
145	MVADJXLFANUSQQ-UHFFFAOYSA-N	None	COc1cc(CC=C)ccc1OC(C)C(=O)NCCCNC(=O)C2=CC(C)(C)NC2(C)C
146	YZNWCPNFYRJMEN-UHFFFAOYSA-N	None	FC(F)(F)c1ccc2c(Nc3ccc(cc3)C(=O)N4CCN(CC4)c5ccccn5)ccnc2c1
147	OALHHIHQOFIMEF-UHFFFAOYSA-N	16423-68-0	C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)O)I)I)O)I
148	TUAMRELNJMMDMT-UHFFFAOYSA-N	108-68-9	CC1=CC(=CC(=C1)O)C
149	JXLYSJRDGCGARV-CFWMRBGOSA-N	None	CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1
150	HOAATCVKKYCUEQ-UHFFFAOYSA-N	None	CCC(C)(C)N\C(=N/O)\Nc1cccnc1
151	PXLIDIMHPNPGMH-UHFFFAOYSA-N	7775-11-3	[O-][Cr](=O)(=O)[O-].[Na+].[Na+]
152	XHWWFSPRCITPGS-UHFFFAOYSA-N	None	Cl.COc1ccccc1OCC2SCCN2C(=O)CN3CCOCC3
153	HPNMFZURTQLUMO-UHFFFAOYSA-N	109-89-7	CCNCC
154	YXDANCHXLHMSIA-UHFFFAOYSA-N	None	Cc1cccc2C(=CC(=O)Nc12)CNc3ccc(F)cc3
155	IHNINXXJLJKYGT-UHFFFAOYSA-N	None	CC1=C([Se]N=N1)C(=O)N2CCOCC2
156	NTHWMYGWWRZVTN-UHFFFAOYSA-N	1344-09-8	[O-][Si](=O)[O-].[Na+].[Na+]
157	ZQPPMHVWECSIRJ-UHFFFAOYSA-N	112-80-1	CCCCCCCCC=CCCCCCCCC(=O)O
158	JEWWXPOUSBVQKG-UHFFFAOYSA-N	None	Oc1cc[n+]([O-])c(c1O)c2c(O)c(O)cc[n+]2[O-]
159	ALFULVYEAUVSFA-UHFFFAOYSA-N	None	CNC(=O)Nc1c(OC)c2ccoc2c(OC)c1OCCN3CCN(C)CC3
160	TZIHFWKZFHZASV-UHFFFAOYSA-N	107-31-3	COC=O
161	JQEKDNLKIVGXAU-UHFFFAOYSA-L	7440-48-4	CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)[O-])C(=O)C=C(N2CC)C(=O)[O-].[Na+].[Na+]
162	GYGWIBOQMMANDF-UHFFFAOYSA-M	None	Cc1cc(Cl)ccc1OCC(=O)[O-].C[N+](C)(C)CCl
163	HPSUPGAVFFFPMQ-UHFFFAOYSA-N	63449-39-8	CCC(CCC(C(CC(C(C(CCl)Cl)Cl)Cl)Cl)Cl)Cl
164	ZUMOVYQJSPCYPF-UHFFFAOYSA-N	None	CNC(=O)CC(=O)N1CCSC1COc2ccccc2OC
165	VOADVZVYWFSHSM-UHFFFAOYSA-L	10102-20-2	[O-][Te](=O)[O-].[Na+].[Na+]
166	HDWIHXWEUNVBIY-UHFFFAOYSA-N	73-48-3	C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
167	YQQVSSKWZKOZDA-UHFFFAOYSA-N	None	Oc1ccc2C(=CC(=O)Oc2c1C3=NN(C(C3)c4ccc(Cl)cc4)c5ccccc5)c6ccccc6
168	XUJNEKJLAYXESH-REOHCLBHSA-N	None	N[C@@H](CS)C(=O)O
169	ULHNZITWDHMBKD-QMMCXANNSA-N	None	FC(F)(F)C(=O)\N=C/1\N(CCCCCCN2CCN(Cc3ccc(Cl)nc3)/C/2=N/C(=O)C(F)(F)F)CCN1Cc4ccc(Cl)nc4
170	NSDWPKPGOIXZEL-UHFFFAOYSA-N	None	Clc1ccc2c(c1)C(=NCc3n[nH]nc23)c4ccccc4Cl
171	QQSNJOYFSVBBKK-PHEASTCWSA-M	None	CCN1\C(=C\c2ccc3ccccc3[n+]2CC)\S\C(=C/4\Sc5ccccc5N4C)\C1=O.CC(=O)[O-]
172	SBNFWQZLDJGRLK-UHFFFAOYSA-N	26002-80-2	CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C
173	MMCGITJJLOOFFU-UHFFFAOYSA-N	None	N#CN\C(=N/C1CCCCC1)\Nc2ccccn2
174	LLPOLZWFYMWNKH-KSWAHXJWSA-N	125-29-1	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4
175	VLCQZHSMCYCDJL-UHFFFAOYSA-N	101200-48-0	CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
176	KWDQAHIRKOXFAV-UHFFFAOYSA-N	107-72-2	CCCCC[Si](Cl)(Cl)Cl
177	HZCDANOFLILNSA-UHFFFAOYSA-N	868-85-9	COP(=O)OC
178	KLEWHGJJTJIPNR-UHFFFAOYSA-N	None	CCCCCCNC(=O)Oc1ccc2C3CC(C)(CCN3CC)c2c1
179	XYNKPCVBAICDRS-UHFFFAOYSA-N	None	CC(C)c1cc(N\C(=N\C2CCCCC2)\Nc3nccs3)c4ccccc4n1
180	BWKQGFPWFOYIAK-UHFFFAOYSA-N	None	CNCCc1ccc(cc1)N2CCCCC2.OC(=O)CCC(=O)O
181	ZGUGWUXLJSTTMA-UHFFFAOYSA-N	58-40-2	CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31
182	CIOYJHSJDUVBHF-UHFFFAOYSA-N	None	ClCCNC(=O)C1CCCN1C(=O)N(CCCl)N=O
183	SZOLGWAHEZEMMN-UHFFFAOYSA-N	None	CCC1Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
184	ZBWRHJANUKDPMO-UHFFFAOYSA-N	None	CC1(C)NC(C)(C)C(=C1)C(=O)NCCCNCc2ccccc2OCC(=O)N
185	PFPMKZBSCJNBMC-KGSHZRFRSA-N	None	CC(C)C1=C(C)[C@@]2(O)[C@@](O)([C@@H]1OC(=O)c3ccc[nH]3)[C@@]4(C)CC(=O)O[C@@]25[C@H](O)[C@@H](C)CC[C@]45O
186	ZEKANFGSDXODPD-UHFFFAOYSA-N	38641-94-0	CC(C)N.C(C(=O)O)NCP(=O)(O)O
187	WFPZPJSADLPSON-UHFFFAOYSA-N	10544-72-6	[N+](=O)([N+](=O)[O-])[O-]
188	VJYIFXVZLXQVHO-UHFFFAOYSA-N	64902-72-3	CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2Cl
