InChI Key	SMILES
SVYQJDWKZFJOEJ-VIFPVBQESA-O	Clc1cncc(n1)[C@H]1C[NH+]2CCC1CC2
LHVRFUVVRXGZPV-UHFFFAOYSA-O	Cc1nc(sc1CC[NH3+])N
AYXYPKUFHZROOJ-ZETCQYMHSA-N	[NH3+]C[C@H](CC(=O)[O-])CC(C)C
XWNMORIHKRROGW-UHFFFAOYSA-N	O=C1CN=C(c2c(N1)ccc(c2)Cl)c1[nH]ccc1
OWYLAEYXIQKAOL-UHFFFAOYSA-O	COc1cc(OC)cc(c1C(=O)CCC[NH+]1CCCC1)OC
PWTBZOIUWZOPFT-UHFFFAOYSA-O	Oc1ccc(cc1)CCNc1nc2nc(nn2c([nH+]1)N)c1ccco1
LVPMIMZXDYBCDF-UHFFFAOYSA-L	[O-]C(=O)c1ccc(cn1)C(=O)[O-]
SVYQJDWKZFJOEJ-SECBINFHSA-O	Clc1cncc(n1)[C@@H]1C[NH+]2CCC1CC2
SHZKQBHERIJWAO-AATRIKPKSA-M	[O-]C(=O)/C=C/c1ccc(cc1)Cn1ccnc1
BQSJTQLCZDPROO-UHFFFAOYSA-M	N#Cc1cc(ccc1OCC(C)C)c1nc(c(s1)C(=O)[O-])C
MKEGUJPBCIXABO-LBPRGKRZSA-O	COc1ccc2c(c1)c(c[nH]2)C[C@@H]1CCC[NH+]1C
JOZGNYDSEBIJDH-UHFFFAOYSA-N	C#Cc1c[nH]c(=O)[nH]c1=O
OJZZJTLBYXHUSJ-UHFFFAOYSA-N	O=C(Nc1cccnc1)Nc1ccc2c(c1)ccn2C
QDPMHXUWMPNTEQ-UHFFFAOYSA-N	Nc1nc2c(c[nH]c2c(=O)[nH]1)Cc1cscc1
DSEPKSLFXGYPIU-INIZCTEOSA-O	CCC[NH+]([C@H]1CCc2c(C1)c1c(C=O)c[nH]c1cc2)CCC
DKYWVDODHFEZIM-NSHDSACASA-M	[O-]C(=O)[C@H](c1cccc(c1)C(=O)c1ccccc1)C
IONAQTGMWFXHIX-UHFFFAOYSA-N	CNc1sc2c(n1)c(Cc1cccnc1)c(c(c2C)O)C
YJYPHIXNFHFHND-UHFFFAOYSA-N	COc1ccc2c(c1)c(CCNC(=O)C)ccc2
HQTNJPCZUQAYAB-UHFFFAOYSA-N	CC(c1nnc(s1)COc1ccc2c(c1)oc(=O)c(c2C)C)C
KHJNUJLYIHQWQI-UHFFFAOYSA-N	Clc1ccc2c(c1)c(c([nH]2)C(=O)N)S(=O)(=O)c1ccccc1
ANUSGJXVCFPWMQ-UHFFFAOYSA-N	S=C(Nc1nccs1)NCCc1ccccc1
OVZWUDZIAAHNFG-HXUWFJFHSA-O	O=C(N([C@@H](c1ccccc1)C[NH+]1CCCC1)C)Cc1ccccc1
ABSZWEGHLDHOTJ-UHFFFAOYSA-N	CN(c1cccc2c1cccc2S(=O)(=O)[N-]c1onc(c1C)C)C
BFCRRLMMHNLSCP-UHFFFAOYSA-N	COc1cc(Cc2cnc(nc2N)N)cc(c1Br)OC
GLXSBZGTGMPDKH-UHFFFAOYSA-N	O=C(C1CCC1)NCCc1cccc2c1cccc2
SEAXPFZOFZLHLQ-UHFFFAOYSA-N	Clc1ccc2c(c1)c(Sc1ccccc1)c([nH]2)C(=O)N
CFBUZOUXXHZCFB-UHFFFAOYSA-M	N#CC1(CCC(CC1)C(=O)[O-])c1ccc(c(c1)OC1CCCC1)OC
DFPAKSUCGFBDDF-UHFFFAOYSA-N	NC(=O)c1cccnc1
