Molregno	StandardInChIKey	Chirality	IsProdrug	CanonicalSMILES
1177794	RTYXQMMUWJBPMQ-UHFFFAOYSA-N	Unknown	Unknown	CC(C)(C(c1ccc(Nc2ccc3ccccc3c2)cc1)n4ccnc4)C(=O)O
869656	YZYSUDWJVZGMMO-XUQXIDOOSA-N	Unknown	Unknown	COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]3[C@H](CC(=O)C(=O)N4CCCC4)C(=O)C=C3CN1C(=O)c5ccccc5
1964001	RXRVCJFGSOVYLG-LLVKDONJSA-N	Unknown	Unknown	C[C@@H]1CN(C(=O)c2cc(COc3ccc(Cl)cn3)nn12)c4cccnc4F
746433	BXYQFEVQIURBAI-ZETCQYMHSA-N	Unknown	Unknown	N=C1CCC[C@@H]1C(=S)SCCC#N
1264017	YGAMOUONCVBLTE-UHFFFAOYSA-N	Unknown	Unknown	OC(=O)CCC(=O)N1CCc2cc(ccc12)c3noc(n3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F
887460	DFDYEYULIXRTID-UHFFFAOYSA-N	Unknown	Unknown	CC(C)CC(NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc2ccc3C4=C(CCC4)C(=O)Oc3c2
259724	TUFADSGTJUOBEH-ZWNOBZJWSA-N	Single_Stereoisomer	No	CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@@H]12
986821	HVGLFLIESXIOPR-UHFFFAOYSA-N	Unknown	Unknown	CCOC(=O)C1CCN(CC1)C(=O)C23CC4CC(CC(C4)C2)C3
1834050	DOAHUBOSPSWMOM-CTYWIBQTSA-N	Unknown	Unknown	CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]23C)O[C@H]7CN(CC8CN(CCOC)C8)CCO7)C(C)(C)O
1834051	AJQNILVHTMISRW-KYLTZZOSSA-N	Unknown	Unknown	CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]3(C)[C@@H]4CC[C@H]5C(C)(C)[C@H](CC[C@@]56C[C@@]46CC[C@]23C)O[C@H]7CN(CC8CN(CC(C)(C)O)C8)CCO7)C(C)(C)O
1025854	IKYNGDYLJPXXJM-UHFFFAOYSA-N	Unknown	Unknown	CCOc1ccc(c2cccnc12)S(=O)(=O)NCc3ccc(F)cc3
60908	NJRKOHLHHUDPLF-YGHRKMAYSA-N	Unknown	Unknown	C[C@]12CCC3C(CCC4=C(SCF)C(=O)CC[C@]34C)C1CCC2=O
