AEINVRKYWDZAKS-UZUQRXQVSA-N	OC(=O)C[C@@H]1CN[C@H](C1)c2ccc(cc2)c3noc(n3)c4ccc(cc4)C5CCCCC5
AEIOPNXCPINKMQ-UHFFFAOYSA-N	O=C(N1CCc2cccc3C(=O)NCC1c23)c4ccccc4
AEIPBBCXMJIOKZ-UHFFFAOYSA-N	CC(Cc1ccccc1)Nc2nc3c(nnn3c4ccsc24)S(=O)(=O)c5ccccc5
AEIVJDVIFTUREM-UHFFFAOYSA-N	Cc1ccc(Cl)cc1NCc2cnc3nc(N)nc(N)c3c2C
AEIVRFFWQSJCAR-UHFFFAOYSA-M	O=c1oc2ccccc2c(c1Cc1ccccc1)[O-]
AEJMHTYAQKKYTD-UHFFFAOYSA-N	Oc1c2CCC(=C3CCCC3)c2nc4ccccc14
AEJOEPSMZCEYJN-FQEVSTJZSA-O	O=C(N([C@H](c1ccccc1)C[NH+]1CCCC1)C)Cc1ccc(c(c1)Cl)Cl
AEJOEPSMZCEYJN-HXUWFJFHSA-N	CN([C@H](CN1CCCC1)c2ccccc2)C(=O)Cc3ccc(Cl)c(Cl)c3
AEJOEPSMZCEYJN-HXUWFJFHSA-O	O=C(N([C@@H](c1ccccc1)C[NH+]1CCCC1)C)Cc1ccc(c(c1)Cl)Cl
AEJOEPSMZCEYJN-UHFFFAOYSA-N	CN(C(CN1CCCC1)c2ccccc2)C(=O)Cc3ccc(Cl)c(Cl)c3
AEJPAZYWEGTVRS-UHFFFAOYSA-N	CCCCCCOc1ccc(cc1I)C(=O)CCN(C)C
AEJPLKVXLXBIJD-UHFFFAOYSA-N	CCCCOC(=O)NS(=O)(=O)c1ccccc1c2ccc(CN3C(=Nc4ccc(NC(=O)N(C)C(C)C)cc4C3=O)CCCC)cc2
AEKIJKSVXKWGRJ-BYPYZUCNSA-N	[O-]C(=O)[C@H](Cn1cc(Br)c(=O)[nH]c1=O)[NH3+]
AEKIJKSVXKWGRJ-SCSAIBSYSA-N	[O-]C(=O)[C@@H](Cn1cc(Br)c(=O)[nH]c1=O)[NH3+]
