BZRKCCCJQGQZNS-WJDWOHSUSA-N	Q03137
BZRLSZPXWKJEHX-UHFFFAOYSA-N	P65502
BZWSQPYXZMPJQF-WPWMEQJKSA-N	P41145
CABYYOSJFIVJAB-UHFFFAOYSA-N	Q27757
CADBYMBVMUDAQP-UHFFFAOYSA-N	P49327
CADJIHNBDOOPOV-UHFFFAOYSA-N	Q96P20
CAHPXHQZHWTNBI-YVMONPNESA-N	P35750
CANOJKGQDCJDOX-VZUCSPMQSA-N	P05186
CASJEHRWVCYLGU-UHFFFAOYSA-N	Q2TB90
CASRTAOYDNMUOI-AATRIKPKSA-N	O43613
CASUHSYWKAPYDI-UHFFFAOYSA-N	P24666
CATONQSSWBTCAE-AJNGGQMLSA-N	P23739
CBAQRGUWFGLMKB-LLVKDONJSA-N	O60674
CBDIQTNMPYCESL-UHFFFAOYSA-N	P49327
CBIBCHQFCAJEHI-WUAPDDLWSA-N	P98170
CBNCIYNCWVGEKJ-UHFFFAOYSA-M	P49327
CBPHONAGSPFBCY-UHFFFAOYSA-N	P41145
CBUUIRGCKAEAJC-UHFFFAOYSA-N	P11473
CCBOYGOTQIYLJA-CATCILLUSA-N	P06276
CCNNEJPCNXRSQA-UHFFFAOYSA-N	P34707
CCQQSWGQEBMHHL-UHFFFAOYSA-N	P22906
CCSNJERMAQFWPG-UHFFFAOYSA-N	O14727
CCUGLDMUHTVGOJ-UHFFFAOYSA-N	Q92731
CDCFSINNCBTHAU-UHFFFAOYSA-N	O43613
CDEJXRZSAIZTRF-UHFFFAOYSA-N	O14727
CDIZCPPXVIAKBJ-UHFFFAOYSA-N	P42574
CDRPUGZCRXZLFL-OWOJBTEDSA-N	P43405
CDSZKWUUDLFLDE-UHFFFAOYSA-N	O00311
CDZHDRCHMIIJEO-UHFFFAOYSA-N	P63165
CELQNOCWABHQCF-LICLKQGHSA-N	Q03137
CELQOEJPNANKNS-UHFFFAOYSA-N	Q9P0U3
CEQFYDPBGAVIJJ-RSGUCCNWSA-N	P11229
CEQKVTUACFLLOZ-HSZRJFAPSA-N	P11597
CESCCRNITIBUGD-UHFFFAOYSA-N	Q9P0U3
CEUAYFMFBGNGQD-UHFFFAOYSA-N	P19971
CEULKLHKLQOZEL-UHFFFAOYSA-N	P14902
CFGHRAUIXLZNBY-UHFFFAOYSA-N	P65502
CFKJLFIEBHBVKA-UHFFFAOYSA-N	P65502
CGCKKFFDYBVAMW-UHFFFAOYSA-N	Q13535
CGGSTYDVWWUILD-UHFFFAOYSA-N	P24666
CGIGDMFJXJATDK-UHFFFAOYSA-N	P35354
CGIGDMFJXJATDK-UHFFFAOYSA-N	P79208
CGIGDMFJXJATDK-UHFFFAOYSA-N	Q05769
CGLIDRNLWKCDLU-UHFFFAOYSA-N	Q03137
CGLQJZGTXNGVBC-UHFFFAOYSA-N	P49327
CGMZNRHLKZJXFR-UHFFFAOYSA-N	P06858
CGQOKKARJMHAJG-UHFFFAOYSA-N	Q2TB90
CGVPOLUKPMAOAN-UHFFFAOYSA-N	O14727
CGXZQWUEHHMFGV-UHFFFAOYSA-N	P42574
CHFDKPMDYFIDBA-BQYQJAHWSA-N	P49327
CHJWNHFNKBOQQK-OPOADAIRSA-N	P49327
CHKNMFFGUVTJPC-AQTBWJFISA-N	P09917
CHKQDHWITYZYQX-RQZCQDPDSA-N	P41145
CHLCWXNTFXVPAL-MRXNPFEDSA-N	Q8NER1
