InChIKey	SMILES	Name	Synonyms
OZYHUBGACYJJJF-LURJTMIESA-N	C(CC[C@@H](C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O	(2S)-2,7-bis(phosphonooxy)heptanoic acid	
OZYHUBGACYJJJF-ZCFIWIBFSA-N	C(CC[C@H](C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O	(2R)-2,7-bis(phosphonooxy)heptanoic acid	
FZZOBXKGDCMGAL-NAJARDBOSA-N	CC(C)C[C@@H](C(=O)NC[C@](CCc1ccccc1)(C(=O)Nc2cccc(c2)C(=O)O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CNC(=O)c3[nH]nnn3)N	3-[[(2S)-2-[[[(2S)-2-[[(2S)-2-[[(2S)-2-azanyl-3-(1H-1,2,3,4-tetrazol-5-ylcarbonylamino)propanoyl]amino]-3-methyl-butanoyl]amino]-4-methyl-pentanoyl]amino]methyl]-2-hydroxy-4-phenyl-butanoyl]amino]benzoic acid	
UMMYTDJYDSTEMB-UHFFFAOYSA-N	COc1ccccc1N2C(=Nc3cccc(c3C2=O)Cl)CSc4c5c([nH]cn5)ncn4	2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4(3H)-ONE	PIK-39
IUXZRSUDCUOHPK-DIPNUNPCSA-N	Cc1c(c(c(n1C)c2ccc(cc2)Cl)c3cccc(c3)N4CCN(CC4)c5ccc(cc5)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])N[C@H](CCN(C)C)CSc7ccccc7)C(=O)O	5-(4-chlorophenyl)-4-{3-[4-(4-{[(4-{[(2R)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrophenyl)sulfonyl]amino}phenyl)piperazin-1-yl]phenyl}-1,2-dimethyl-1H-pyrrole-3-carboxylic acid	
KOCQZKPUMDARNV-UHFFFAOYSA-N	Cc1ccccc1n2c(c(cn2)C(=O)c3cccc(c3)C4CCN(CC4)S(=O)(=O)C)N	[5-amino-1-(2-methylphenyl)-1H-pyrazol-4-yl]{3-[1-(methylsulfonyl)piperidin-4-yl]phenyl}methanone	
LRMIUNSMKAGCAH-ZGLCPUQGSA-N	CC(C)C[C@@H]([C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CC2CC2)C[C@@H]([C@H](Cc3ccccc3)O)O)O)O	(2R,4S,5S)-N-[(2S,3R,4S)-1-cyclohexyl-3,4-dihydroxy-6-methylheptan-2-yl]-2-(cyclopropylmethyl)-4,5-dihydroxy-6-phenylhexanamide	
MVGFIPNJBNBHNC-HVFXMTMESA-N	CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)NC(=O)CCCCCCC/C=C\CCCCCCCC)O	(9Z)-N-[(2S,3R,4E)-1-(beta-D-glucopyranosyloxy)-3-hydroxyoctadec-4-en-2-yl]octadec-9-enamide	N-(9Z-octadecenoyl)-1--glucosyl-sphing-4-enine
ZKXLQCIOURANAD-UHFFFAOYSA-N	CC1(CC(CC(N1)(C)C)NC(=O)C(=O)Nc2ccc(cc2)Cl)C	N-(4-chlorophenyl)-N'-(2,2,6,6-tetramethylpiperidin-4-yl)ethanediamide	NBD-556
CBQBIPRPIHIKPW-YFKPBYRVSA-N	CC(C)C[C@@H](C(=O)O)Cl	(2S)-2-chloro-4-methylpentanoic acid	(S)-alpha-chloroisocaproate
GGIDQMXKOSYOHO-RUZDIDTESA-N	C[C@@](CCc1ccc(cc1)c2ccc(cc2)OCCCN3CCOCC3)(C(=O)NO)S(=O)(=O)C	(2R)-N-hydroxy-2-methyl-2-(methylsulfonyl)-4-{4'-[3-(morpholin-4-yl)propoxy]biphenyl-4-yl}butanamide	
HGEJNHUGVPFHIF-UHFFFAOYSA-N	c1cc(ccc1C(=O)N)C(=O)Nc2cc([nH]n2)C3CC3	N-(5-cyclopropyl-1H-pyrazol-3-yl)benzene-1,4-dicarboxamide	
HLWGMGIORMMWMJ-UHFFFAOYSA-N	c1ccc(c(c1)C(=O)NCc2c(cccc2Cl)Sc3ccc(cc3Cl)Cl)C(=O)O	2-({2-chloro-6-[(2,4-dichlorophenyl)sulfanyl]benzyl}carbamoyl)benzoic acid	
OEXMEVPQEPHTAQ-IDUWFGFVSA-N	Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl	(5Z)-5-[(6-chloro-7-methyl-1H-indol-3-yl)methylidene]-3-(3,4-difluorobenzyl)imidazolidine-2,4-dione	
ZYQXEVJIFYIBHZ-UHFFFAOYSA-N	CC(C)(CC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F)O	N-{2-[4-({3-chloro-4-[3-(trifluoromethyl)phenoxy]phenyl}amino)-5H-pyrrolo[3,2-d]pyrimidin-5-yl]ethyl}-3-hydroxy-3-methylbutanamide	TAK-285
XPUIECRALWERTL-UHFFFAOYSA-N	c1cc(cc(c1)Oc2c(cc(cn2)Nc3c4c(ccn4CCOCCO)ncn3)Cl)C(F)(F)F	2-{2-[4-({5-chloro-6-[3-(trifluoromethyl)phenoxy]pyridin-3-yl}amino)-5H-pyrrolo[3,2-d]pyrimidin-5-yl]ethoxy}ethanol	
BUZNVJZUYOBGFM-KRWDZBQOSA-N	[H]/N=C(/c1cccc(c1)Oc2c(c(c(c(n2)Oc3ccccc3C(=O)O)F)N[C@@H](C)CCc4ccccc4)F)\N	2-({6-{3-[AMINO(IMINO)METHYL]PHENOXY}-3,5-DIFLUORO-4-[(1-METHYL-3-PHENYLPROPYL)AMINO]-2-PYRIDINYL}OXY)BENZOIC ACID	
AFVFQIVMOAPDHO-UHFFFAOYSA-N	CS(=O)(=O)O	methanesulfonic acid	
UZMQSZBTFGHLAH-UHFFFAOYSA-N	c1ccc2c(c1)cc(s2)S(=O)(=O)N	1-benzothiophene-2-sulfonamide	
IYKUBGQVTQQVJG-ZCXUNETKSA-N	CC/C(=C(\C#N)/C(=O)Nc1ccc(c(c1)C(=O)OC)c2ccc(cc2)F)/O	methyl 4-{[(2Z)-2-cyano-3-hydroxypent-2-enoyl]amino}-4'-fluorobiphenyl-2-carboxylate	
JWAZRIHNYRIHIV-UHFFFAOYSA-N	c1ccc2cc(ccc2c1)O	naphthalen-2-ol	2-Naphtol
MQVRLONNONYDJP-UWTATZPHSA-N	C([C@H](C(O)O)O)O	(2R)-propane-1,1,2,3-tetrol	
SBLMCLDRWJNEJK-UHFFFAOYSA-N	CC1=C(C(=O)N(N1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4cc(c(c5)OC)OC	N-{4-[(6,7-dimethoxyquinolin-4-yl)oxy]-3-fluorophenyl}-1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide	
SIHPQWGESUQLJI-UHFFFAOYSA-N	c1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N	4-[(4-amino-5-benzoyl-1,3-thiazol-2-yl)amino]benzenesulfonamide	
AVVYWVLNDGDANA-UHFFFAOYSA-N	Cc1ccccc1C(=O)CC(=O)C(=O)O	4-(2-methylphenyl)-2,4-dioxobutanoic acid	
MQIMZDXIAHJKQP-UHFFFAOYSA-N	C=Cc1cc(cc2c1oc(n2)c3ccc(c(c3)F)O)O	2-(3-FLUORO-4-HYDROXYPHENYL)-7-VINYL-1,3-BENZOXAZOL-5-OL	
QMPAEYUADYAXIX-XFVKVHEMSA-N	CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]1[C@H](O1)C(=O)OCC	N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-THREONYL-L-ISOLEUCINE	CA042, N-(L-3-TRANS-ETHOXYCARBONYLOXIRANE-2-CARBONYL)-L-THREONYL-L-ISOLEUCINE
DLBFPLZJXXVHIG-UHFFFAOYSA-N	c1cc(cc(c1)Br)C(=O)CC(=O)C(=O)O	4-(3-bromophenyl)-2,4-dioxobutanoic acid	
OHLUERTUZNIQEE-GOSISDBHSA-N	CC1=C(C(=O)N(N1C[C@@H](C)O)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OC	N-{3-fluoro-4-[(7-methoxyquinolin-4-yl)oxy]phenyl}-1-[(2R)-2-hydroxypropyl]-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide	
ODEHMIGXGLNAKK-OESPXIITSA-N	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)CO)O)O)O)O	beta-D-fructofuranosyl-(2->6)-beta-D-fructofuranosyl alpha-D-glucopyranoside	6-KESTOSE
VQLNKQZLPGLOSI-UHFFFAOYSA-N	CC(=O)Nc1cc(ncn1)Oc2ccc3c(c2)CCN3C(=O)Nc4ccc(c(c4)C(F)(F)F)CN5CCN(CC5)C	5-{[6-(acetylamino)pyrimidin-4-yl]oxy}-N-{4-[(4-methylpiperazin-1-yl)methyl]-3-(trifluoromethyl)phenyl}-2,3-dihydro-1H-indole-1-carboxamide	
MMIJMYOYKAKQPN-UHFFFAOYSA-N	Cc1ccc(cc1)n2cc(c3c2cccc3)CNCC4CCCCC4	1-CYCLOHEXYL-N-{[1-(4-METHYLPHENYL)-1H-INDOL-3-YL]METHYL}METHANAMINE	
ATBLOTYVKHVLPU-UHFFFAOYSA-N	c1ccc(cc1)C(=O)Nc2cc(ccc2F)Nc3ccc4c(c3)CCCCC4=O	N-{2-fluoro-5-[(5-oxo-6,7,8,9-tetrahydro-5H-benzo[7]annulen-2-yl)amino]phenyl}benzamide	
JMHXNXJFBFTKHQ-BFHYXJOUSA-N	CC(=O)N[C@@H](Cc1ccccc1)[C@H]([C@]2(CO2)C)O	2-(acetylamino)-4,5-anhydro-1,2-dideoxy-4-methyl-1-phenyl-D-xylitol	
MDJIPXYRSZHCFS-UHFFFAOYSA-N	c1ccc(cc1)CC(=O)Nc2nnc(s2)CCSCCc3nnc(s3)NC(=O)Cc4ccccc4	N,N'-[sulfanediylbis(ethane-2,1-diyl-1,3,4-thiadiazole-5,2-diyl)]bis(2-phenylacetamide)	BPTES
SLVOSRJOLWNALP-QAKIEGLASA-N	C[C@H](CO)[C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc(cc2)OC)NC(=O)[C@H](C)NC(=O)CN3CCOCC3)O	1,2,4-trideoxy-4-methyl-2-{[N-(morpholin-4-ylacetyl)-L-alanyl-O-methyl-L-tyrosyl]amino}-1-phenyl-D-xylitol	
HSSLDCABUXLXKM-UHFFFAOYSA-N	c1cc2c(cc1O)OC3=CC(=O)C=CC3=N2	7-hydroxy-3H-phenoxazin-3-one	RESORUFIN
TVZGACDUOSZQKY-LBPRGKRZSA-N	c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)N	Aminopterin	N-(4-{[(2,4-diaminopteridin-6-yl)methyl]amino}benzoyl)-L-glutamic acid
PAJOHXKWGHBVDS-UHFFFAOYSA-N	CCN(CC)CCOc1ccc(cc1)Nc2ncc3c(n2)N(C(=O)C(=C3)Oc4ccc(cc4)F)C	2-({4-[2-(diethylamino)ethoxy]phenyl}amino)-6-(4-fluorophenoxy)-8-methylpyrido[2,3-d]pyrimidin-7(8H)-one	
ZNIFXENZPBLKBE-FYWRMAATSA-N	Cc1ccc(cc1C(=O)Nc2cc3c([nH]c(n3)c4ccccc4)nc2)NC(=O)/C=C/c5ccccc5	2-methyl-N-(2-phenyl-3H-imidazo[4,5-b]pyridin-6-yl)-5-{[(2E)-3-phenylprop-2-enoyl]amino}benzamide	
JXZXJHWSQKISBZ-UHFFFAOYSA-N	CC(=O)Nc1ccc(cc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)C	N-(4-{[4-(methylsulfonyl)-2-nitrophenyl]amino}phenyl)acetamide	
WGWGFHMTAVZKKS-UHFFFAOYSA-N	COc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N	4-{[4-amino-5-(3-methoxybenzoyl)-1,3-thiazol-2-yl]amino}benzenesulfonamide	
